66.249.89.106:48250 - - [20/May/2025:02:51:49 +0200] "GET /wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.5.1 HTTP/1.1" 200 3537 "https://bit-data.es/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.114 Safari/537.36 PlayStore-Google" 484 "0.016/s"
66.249.89.106:48250 - - [20/May/2025:02:51:50 +0200] "GET /wp-content/uploads/2021/02/Logo_ecommerce.png HTTP/1.1" 200 3907 "https://bit-data.es/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.114 Safari/537.36 PlayStore-Google" 494 "0.012/s"
82.98.132.85:48154 - - [20/May/2025:03:40:45 +0200] "POST /wp-cron.php?doing_wp_cron=1747705245.6876869201660156250000 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.016/s"
69.171.230.112:52220 - - [20/May/2025:03:40:45 +0200] "GET /robots.txt HTTP/2.0" 200 386 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 95 "1.524/s"
82.98.132.85:35404 - - [20/May/2025:03:40:55 +0200] "POST /wp-cron.php?doing_wp_cron=1747705255.4230349063873291015625 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.008/s"
173.252.83.5:34956 - - [20/May/2025:03:40:55 +0200] "GET /robots.txt HTTP/2.0" 200 386 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 95 "0.372/s"
57.141.6.13:34080 - - [20/May/2025:03:40:56 +0200] "GET /sitemap_index.xml HTTP/2.0" 200 1010 "-" "meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)" 98 "0.329/s"
82.98.132.85:55548 - - [20/May/2025:03:45:51 +0200] "POST /wp-cron.php?doing_wp_cron=1747705551.8100960254669189453125 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.016/s"
45.61.102.59:59938 - - [20/May/2025:03:45:52 +0200] "GET / HTTP/1.1" 200 13853 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 OPR/117.0.0." 366 "0.736/s"
18.223.238.174:53129 - - [20/May/2025:03:51:30 +0200] "GET / HTTP/1.1" 301 0 "-" "python-requests/2.27.1" 142 "0.000/s"
82.98.132.85:50172 - - [20/May/2025:03:51:51 +0200] "POST /wp-cron.php?doing_wp_cron=1747705911.8607409000396728515625 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.012/s"
18.223.238.174:62402 - - [20/May/2025:03:51:52 +0200] "GET / HTTP/1.1" 200 13863 "-" "python-requests/2.27.1" 142 "0.724/s"
4.227.36.16:58168 - - [20/May/2025:04:40:11 +0200] "GET /robots.txt HTTP/2.0" 404 178 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)" 168 "0.012/s"
82.98.132.85:36454 - - [20/May/2025:04:40:11 +0200] "POST /wp-cron.php?doing_wp_cron=1747708811.7469489574432373046875 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.012/s"
4.227.36.17:45114 - - [20/May/2025:04:40:11 +0200] "GET /robots.txt HTTP/2.0" 200 196 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)" 161 "1.873/s"
4.227.36.17:45130 - - [20/May/2025:04:40:12 +0200] "GET /robots.txt HTTP/2.0" 301 0 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)" 164 "0.321/s"
4.227.36.17:45114 - - [20/May/2025:04:40:13 +0200] "GET /robots.txt HTTP/2.0" 200 196 "https://www.bit-data.es/robots.txt" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)" 54 "0.260/s"
82.98.132.85:48408 - - [20/May/2025:04:50:16 +0200] "POST /wp-cron.php?doing_wp_cron=1747709416.7382259368896484375000 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.008/s"
152.39.236.196:43331 - - [20/May/2025:04:50:17 +0200] "GET /app-ads.txt HTTP/1.1" 404 12431 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36" 740 "0.656/s"
82.98.132.85:36840 - - [20/May/2025:04:53:01 +0200] "POST /wp-cron.php?doing_wp_cron=1747709581.3286941051483154296875 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.012/s"
68.54.147.198:59221 - - [20/May/2025:04:53:01 +0200] "POST /xmlrpc.php HTTP/1.1" 200 428 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 980 "0.512/s"
167.235.1.20:52110 - - [20/May/2025:04:56:58 +0200] "GET / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.361675787136" 323 "0.000/s"
82.98.132.85:52322 - - [20/May/2025:04:56:59 +0200] "POST /wp-cron.php?doing_wp_cron=1747709819.0640439987182617187500 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.016/s"
167.235.1.20:50838 - - [20/May/2025:04:57:00 +0200] "GET / HTTP/1.1" 200 55383 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.361675787136" 323 "1.424/s"
82.98.132.85:36038 - - [20/May/2025:05:23:24 +0200] "POST /wp-cron.php?doing_wp_cron=1747711404.3413679599761962890625 HTTP/1.1" 200 0 "-" "WordPress/6.7.2; https://bit-data.es" 283 "0.016/s"
66.249.64.43:51647 - - [20/May/2025:05:23:24 +0200] "GET /robots.txt HTTP/1.1" 200 196 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 227 "1.472/s"
66.249.64.43:51647 - - [20/May/2025:05:23:25 +0200] "GET / HTTP/1.1" 200 13811 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 488 "0.520/s"
66.249.64.42:53338 - - [20/May/2025:05:23:28 +0200] "GET /wp-includes/css/dist/block-library/style.min.css?ver=6.7.2 HTTP/1.1" 200 15177 "https://bit-data.es/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 537 "0.024/s"
66.249.64.42:53338 - - [20/May/2025:05:23:28 +0200] "GET /wp-content/cache/autoptimize/autoptimize_single_9c3f142da9251f0f6c113358a6e293ca.php?ver=9.5.1 HTTP/1.1" 200 1244 "https://bit-data.es/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 573 "0.016/s"
